Rank,Name,Team,seasons_used,PA,Age,wRC+,BB%,K%,ISO,Spd,z_wRC+,z_BB%,z_K%,z_ISO,z_Spd,adjusted_composite,Percentile
41,Ho-yeon Lee 이호연,Wiz (KBO),2023 only,234,28,96.347221181378,0.068376068,0.175213675,0.075471698,4.5830189554773675,-0.05935211027930933,-0.5657308192115719,-0.27231789323138267,-0.5882658042530289,0.051563640958794024,-0.16907243920423573,47.43589743589743
42,Dong Jin Kwon 권동진,Wiz (KBO),2025-2026,463,27,88.58768032722703,0.11015118735637149,0.27429805531533474,0.09885836114686825,5.4160209898054745,-0.34755229205467525,0.8056541117243207,1.2784775143503917,-0.4080752822633374,0.5034964201240085,-0.16940931288250052,46.15384615384615
43,Seong Ho Cheon 천성호,Twins (KBO),2024-2026,672,28,85.83788532455848,0.06518613747916667,0.15278198060416667,0.08368443128124999,6.671307964385632,-0.5043798277969616,-0.9975827502628222,-0.904345660390809,-0.7431751672691829,1.296517268985752,-0.18149854681659103,44.871794871794876
44,Myeong Jin Oh 오명진,Bears (KBO),2025-2026,494,24,90.60834665149399,0.0829959511214575,0.23481781343319838,0.1147263136659919,4.988489208174967,-0.27538284079207515,-0.21772806910598955,0.6216118129978637,-0.14832270430367225,0.2971503312941464,-0.2665977348613203,43.58974358974359
45,Sang-hyeon Ahn 안상현,Landers (KBO),2025-2026,412,29,94.87921706552908,0.07766990283252427,0.26456310668932037,0.10452958665291262,6.228561036432248,-0.10642024469166343,-0.39695184745983936,1.0647608753160016,-0.30224385613863597,0.8673210300176948,-0.27244861717921665,42.30769230769231
46,Won-seok Lee 이원석,Eagles (KBO),2023-2026,708,27,67.55268345709767,0.1002824853898305,0.2033898299237288,0.06498009461864405,7.069284534995603,-1.3178419122322067,0.5123037399028602,0.07490073359361223,-1.111812067723238,1.548969030351936,-0.29413169253596144,41.02564102564102
47,Ui San Jeon 전의산,Landers (KBO),2023-2026,259,25,89.44325010292425,0.0926640921042471,0.2779922775135135,0.15608972499613902,1.7119543610533974,-0.25914388729470134,0.1010847258860711,1.0407245073951166,0.3978170863043944,-1.043633050869644,-0.3053076283372212,39.743589743589745
48,Young-soo Oh 오영수,Dinos (KBO),2023-2025,417,25,83.36899274777079,0.09352517921103118,0.2446043158177458,0.10188261312470023,3.179339606019694,-0.5270239602975013,0.17174146277710708,0.7449536892686437,-0.3454180245709432,-0.5948626574055992,-0.37546152967490376,38.46153846153847
49,Han Byul Kim 김한별,Dinos (KBO),2023-2026,214,25,70.80828570617192,0.08411214899065421,0.19626168191121493,0.04484470395794393,4.471705703829043,-0.7281851302706843,-0.13493548142013478,-0.009973822150249922,-0.9086548121185177,0.008843423078256423,-0.385608524516141,37.17948717948718
50,Hyung-jun Kim 김형준,Dinos (KBO),2023-2026,1140,26,89.7424060098468,0.10350877137192983,0.3210526307991228,0.18732093221491225,2.2913977574945967,-0.3719522620333569,0.7423381426206462,2.6823516003514563,1.3900418246739425,-1.3779919056405516,-0.39176437988810053,35.8974358974359
51,Dong-hui Han 한동희,Giants (KBO),2023-2026,557,27,77.56852666181898,0.07540394893716337,0.166965888518851,0.11001194720825852,2.078805224347728,-0.8164734844706296,-0.5302634560188023,-0.5879563227551063,-0.23600567212612877,-1.2521037682658722,-0.4205278724403747,34.61538461538461
52,Jun-young Park 박준영,Bears (KBO),2023-2025,476,27,82.0596914779332,0.08403361291596637,0.300420167512605,0.16014979150420167,5.567098322197237,-0.6019764826834666,-0.1760523030612072,1.7400194160595617,0.6114985051601654,0.5860051675496061,-0.42228461125326866,33.33333333333333
53,Yu-chan Lee 이유찬,Bears (KBO),2023-2026,920,27,76.15598401851852,0.08913043414999999,0.2163043474021739,0.06705392287282609,6.125466110871556,-1.0015679570734113,0.03379670308801496,0.347779660261047,-1.1472337031053426,1.0770313143097705,-0.4259590674370534,32.05128205128205
54,Kyu-sung Kim 김규성,Tigers (KBO),2023-2026,562,29,70.16378916694951,0.08540925205871887,0.22241992829537366,0.07493911993950178,5.9376733062527345,-1.1220040615210591,-0.1282227132024307,0.4218044006915896,-0.8590424856274647,0.8249729584897548,-0.4494391685013488,30.76923076923077
55,Ki-yeon Kim 김기연,Bears (KBO),2024-2025,528,27,79.55498297200376,0.07765151447916666,0.1723484842310606,0.08495495977651514,1.9993773278440783,-0.7229981685487791,-0.43262561147926953,-0.47947806051808334,-0.6675029454700723,-1.2710632594670406,-0.4563920090980493,29.48717948717949
56,Sun-woo Oh 오선우,Tigers (KBO),2025 only,474,28,104.40591457798604,0.071729957,0.333333333,0.167048055,2.2419866641303727,0.25842293023091173,-0.6419609002745242,2.301388619944793,0.7254153099312739,-1.0992352320462202,-0.4899170670329223,28.205128205128204
57,Bo-keun Jeong 정보근,Giants (KBO),2023-2025,393,25,71.76772157584386,0.08905852367684479,0.2111959283842239,0.08331234909160304,2.1390865156361323,-0.9290919731521801,0.009412905237143903,0.19792948942489444,-0.6247981887905688,-1.0688763381053696,-0.5165676256504692,26.923076923076923
58,Gye-beom Park 박계범,Bears (KBO),2023-2025,392,29,72.63032368764499,0.07397959116836735,0.22704081583673472,0.08132144171938775,4.249868903881133,-0.8974626244406125,-0.5190594180746528,0.4489827692279053,-0.65486745444074,-0.07877364107172874,-0.5354169101727407,25.64102564102564
