Rank,Name,NameASCII,Team,Age,PA,wRC+,BB%,K%,ISO,Spd,z_wRC+,z_BB%,z_K%,z_ISO,z_Spd,hot_composite
46,Ju Hong Park 박주홍,Ju Hong Park,Heroes (KBO),25.0,176,76.42222031731,0.113636363,0.284090909,0.099337748,5.368174701986778,-0.6197546844279677,0.7825248268476506,1.4503751717531537,-0.4864996912356028,0.5731603569053251,-0.2478353769360388
47,In Ho Choi 최인호,In Ho Choi,Eagles (KBO),26.0,103,83.80584582043254,0.077669902,0.13592233,0.10989011,1.1845238025,-0.36943719016596593,-0.43342393288134656,-1.1244860373518728,-0.32484888424594266,-1.3452576441715325,-0.2500097759336873
48,Dong Hee Yoon 윤동희,Dong Hee Yoon,Giants (KBO),22.0,284,84.4602074898075,0.109154929,0.257042253,0.112449799,1.2464924658790375,-0.3472532138321484,0.6310171732559512,0.9803258835513282,-0.2856372089364189,-1.3168418412794696,-0.2822821792835867
49,Hyun In Ryu 류현인,Hyun In Ryu,Wiz (KBO),25.0,168,97.90432713360865,0.071428571,0.208333333,0.1,2.8548300487925977,0.10852536545409464,-0.6444299222809748,0.1338663339500596,-0.4763547047168957,-0.5793367661671268,-0.30183443858661607
50,Won-seok Lee 이원석,Won-seok Lee,Eagles (KBO),27.0,211,83.48793185390922,0.071090047,0.180094786,0.074468085,6.020577839347638,-0.3802150157013154,-0.6558746912822533,-0.356860780816892,-0.8674761108761434,0.8723205767089486,-0.310767224912758
51,Seoung Bin Son 손성빈,Seoung Bin Son,Giants (KBO),24.0,306,86.12016162935954,0.071895424,0.176470588,0.121771217,1.40739202125,-0.2909779381390918,-0.6286466255500075,-0.41984179141507016,-0.1428431366720345,-1.2430611624406156,-0.33435351269543734
52,Jin-young Lee 이진영,Jin-young Lee,Eagles (KBO),28.0,102,85.50649068018352,0.107843137,0.303921568,0.091954023,4.138673714398381,-0.31178242967704484,0.5866683045857084,1.7949907100454485,-0.599610396198125,0.00937124457267242,-0.33510121404586135
53,Ho-cheol Seo 서호철,Ho-cheol Seo,Dinos (KBO),29.0,155,62.474821806160584,0.109677419,0.206451612,0.075757575,4.443374419159916,-1.0925952754503643,0.6486814374011171,0.10116594334120907,-0.8477225145623423,0.14909210823915123,-0.33541840687456476
54,Ui San Jeon 전의산,Ui San Jeon,Landers (KBO),25.0,248,95.5801131580732,0.084677419,0.31048387,0.15625,2.000919300567019,0.02973054870198304,-0.1965148412437271,1.909029846927718,0.3853346396373242,-0.9708985360341864,-0.34658694841544835
55,Chan Hyeok Park 박찬혁,Chan Hyeok Park,Heroes (KBO),23.0,284,84.9865597905197,0.095070422,0.25,0.12295082,1.08035714,-0.32940897336280184,0.15485025713806094,0.8579461982173445,-0.12477289070459853,-1.3930233887934396,-0.35305897447719065
