Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,player_type
2023,Hyun Soo Kim 김현수,Twins (KBO),35.0,132,484,552,142,112,22,2,6,53,88,58,4,53,1,8,1,10,2,1,0.293388429,Hyun Soo Kim,18718,,0.105072463,0.096014492,1.094339622,0.364791288,0.38429752,0.749088808,0.090909091,2.634798242753017,0.314087759,-0.5185040978249162,71.5295031000829,6.522494070694474,0.3516843518347801,110.03352433542324,KBO_to_MLB
2023,Hyung-jong Lee 이형종,Heroes (KBO),34.0,98,312,370,68,42,22,1,3,35,37,39,2,78,14,2,3,11,0,0,0.217948717,Hyung-jong Lee,sa3013195,,0.105405405,0.21081081,0.5,0.329700272,0.323717948,0.65341822,0.105769231,2.19093405875,0.278969957,-0.278176897438243,37.96519274093041,-5.6083459200727015,0.3165528334983408,87.12900973293686,KBO_only
2023,Hyung-jun Kim 김형준,Dinos (KBO),23.0,26,72,82,17,9,2,0,6,10,13,8,0,24,1,0,1,3,0,0,0.236111111,Hyung-jun Kim,sa3012705,,0.097560975,0.292682926,0.333333333,0.320987654,0.513888888,0.834876542,0.277777777,0.8336466087500001,0.261904761,-0.0538406898267567,12.4595432280528,2.8027049302088676,0.3808108972914425,129.0230077771378,KBO_only
2023,In Ho Choi 최인호,Eagles (KBO),23.0,41,131,148,39,29,5,3,2,23,11,10,0,22,4,1,2,2,1,0,0.297709923,In Ho Choi,sa3014330,,0.067567567,0.148648648,0.454545454,0.363013698,0.427480916,0.790494614,0.129770993,6.430148499337754,0.342592592,0.07138057728298,21.224140388763423,3.794724924362176,0.3696890546850962,121.77195748252558,KBO_only
2023,In-hwan Kim 김인환,Eagles (KBO),29.0,112,325,365,73,50,16,0,7,34,42,35,2,91,2,3,0,4,1,0,0.224615384,In-hwan Kim,sa3012607,,0.09589041,0.249315068,0.384615384,0.301369863,0.338461538,0.639831401,0.113846154,2.1193802541056432,0.286956521,-0.0542476989794522,33.481361513985554,-9.50334554349049,0.3023838542052865,77.89133346707864,KBO_only
2023,In-tae Kim 김인태,Bears (KBO),28.0,47,98,115,25,19,5,0,1,8,14,15,0,26,1,0,1,2,2,1,0.25510204,In-tae Kim,sa3012367,,0.130434782,0.226086956,0.576923076,0.359649122,0.336734693,0.696383815,0.081632653,2.523118292771366,0.338028169,-0.1236723724287003,13.821195375652048,0.2780684945294588,0.3394439419110616,102.0532074828085,KBO_only
2023,Ja-wook Koo 구자욱,Lions (KBO),30.0,119,453,515,152,103,37,1,11,65,71,53,2,81,4,3,2,5,12,4,0.335540838,Ja-wook Koo,sa3012300,,0.102912621,0.157281553,0.654320987,0.407407407,0.494481236,0.901888643,0.158940398,4.069708986302972,0.387362637,0.2514698323793709,92.57846208283728,31.928806919549164,0.4170423847588541,152.64466357407423,KBO_only
2023,Jae Hyeon Lee 이재현,Lions (KBO),20.0,143,458,538,114,81,19,2,12,61,60,52,0,89,6,6,16,9,5,3,0.248908296,Jae Hyeon Lee,sa3018058,,0.096654275,0.165427509,0.584269662,0.329501915,0.377729257,0.707231172,0.128820961,3.6827554017426705,0.280991735,-0.672716201050207,62.47881551256538,-0.8794650269472535,0.3341656055486979,98.61191778018852,KBO_only
2023,Jae-Gyun Hwang 황재균,Wiz (KBO),35.0,109,407,457,120,86,26,2,6,62,49,45,1,64,1,1,3,15,3,3,0.294840294,Jae-Gyun Hwang,19369,,0.098468271,0.140043763,0.703125,0.365638766,0.412776412,0.778415178,0.117936118,3.672550269130495,0.337278106,-1.048787011532113,64.18839983544386,10.369191273069744,0.3658464445709919,119.26671080837671,KBO_only
2023,Jae-Hoon Ha 하재훈,Landers (KBO),32.0,77,201,229,61,43,10,1,7,35,35,19,1,53,5,2,2,0,11,0,0.303482587,Jae-Hoon Ha,sa502535,,0.082969432,0.231441048,0.358490566,0.374449339,0.467661691,0.84211103,0.164179104,6.7182557006152495,0.377622377,2.0025841700844467,36.31406790852457,9.345580466984805,0.3894474039563035,134.6537064314172,KBO_only
2023,Jae-hoon Choi 최재훈,Eagles (KBO),33.0,125,327,417,81,68,12,0,1,23,33,56,1,48,23,2,9,9,1,1,0.247706422,Jae-hoon Choi,sa3013205,,0.134292565,0.115107913,1.166666666,0.392156862,0.293577981,0.685734843,0.045871559,1.08650587688589,0.285714285,-0.6556899626739323,52.422688309862664,3.3141325757051003,0.3466458294256899,106.74858489760054,KBO_only
2023,Jae-hwan Chun 천재환,Dinos (KBO),29.0,78,163,179,39,29,7,1,2,12,17,8,0,44,4,2,2,5,2,3,0.239263803,Jae-hwan Chun,sa3019748,,0.044692737,0.245810055,0.181818181,0.288135593,0.331288343,0.619423936,0.09202454,3.3688600791319407,0.310924369,-0.9795835653785616,15.071723358078422,-6.008448048190649,0.2925763069573095,71.49715753068409,KBO_only
2023,Jae-hwan Kim 김재환,Bears (KBO),34.0,132,405,484,89,64,15,0,10,40,46,72,4,100,5,2,0,8,4,1,0.219753086,Jae-hwan Kim,sa3013200,,0.14876033,0.20661157,0.72,0.342975206,0.330864197,0.673839403,0.111111111,2.316540196829453,0.265993265,-0.0287696088198572,53.150426994583505,-3.848472226836782,0.3259385455399751,93.24816394806706,KBO_only
2023,Jae-il Oh 오재일,Lions (KBO),36.0,106,315,364,64,38,15,0,11,31,54,43,1,110,3,3,0,1,1,0,0.203174603,Jae-il Oh,sa3013047,,0.118131868,0.302197802,0.39090909,0.302197802,0.355555555,0.657753357,0.152380952,1.761329313057855,0.269035532,-0.0482654001098126,36.02911497490269,-6.837825761867942,0.3118282078711454,84.04871995914895,KBO_only
