Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Jeong Choi 최정","- - -","—",2781,0.122977346,0.193096008,0.636871508,0.278283485,0.386829794,0.547464239,0.934294033,0.269180754,3.986019302224252,0.290577507,-0.7630097504006699,509.68053676297785,166.98543138911845,0.41544966840865133,148.8100977806429,"Jeong Choi","sa3012034",
"Euiji Yang 양의지","- - -","—",2828,0.105374823,0.110678925,0.952076677,0.308484349,0.392503536,0.502883031,0.895386567,0.194398682,2.5633211853183027,0.311949069,-0.8457251857034862,490.48863921794305,142.68838284644494,0.40366975757545703,141.47286257794573,"Euiji Yang","sa3012037",
"Ah-seop Son 손아섭","- - -","—",2720,0.08492647,0.130147058,0.652542372,0.301593788,0.361152141,0.391499795,0.752651936,0.089906007,4.216097908313688,0.342570473,-2.0180446258746088,355.0243106702804,23.580653704190247,0.3506687800060073,107.70116078834909,"Ah-seop Son","sa3012050",
"Taegun Kim 김태군","- - -","—",1484,0.058625336,0.101078167,0.58,0.258487654,0.322692574,0.352623456,0.67531603,0.094135802,1.860450108608688,0.274165202,-1.3046189671149477,155.0431738013027,-27.351759571433302,0.31678337028574993,85.10682611133288,"Taegun Kim","sa3012057",
"Geonchang Seo 서건창","- - -","—",1377,0.110384894,0.136528685,0.808510638,0.25510204,0.347794117,0.341836734,0.689630851,0.086734694,5.23026714968727,0.29322548,-0.16970587614923716,157.5409748277499,-12.926706550376267,0.32938497226380564,91.48833740533321,"Geonchang Seo","sa3012058",
"Junwoo Jeon 전준우","- - -","—",2834,0.086803105,0.137614678,0.63076923,0.306714342,0.37009544,0.447755264,0.817850704,0.141040922,3.4194961864284616,0.337773549,-1.8599313601152971,426.2757425736684,78.18562780134872,0.37486316051405427,122.72099129648068,"Junwoo Jeon","sa3012061",
"Kyoung-min Hur 허경민","- - -","—",2562,0.074941451,0.06635441,1.129411764,0.287163652,0.356835095,0.386854874,0.743689969,0.099691222,3.3386037087596945,0.295356629,-2.1293771258788183,330.9303735447512,15.992106656490371,0.34725306481415724,104.84566790224041,"Kyoung-min Hur","sa3012064",
"Sang-soo Kim 김상수","- - -","—",2344,0.104948805,0.130546075,0.803921568,0.261127596,0.344603381,0.334322453,0.678925834,0.073194857,3.30019589390217,0.297612114,-5.079898817115463,259.09155194510595,-30.11282502065524,0.3244572560991914,89.48717947264345,"Sang-soo Kim","sa3012065",
"Hoon Jung 정훈","- - -","—",1659,0.103074141,0.179023508,0.575757575,0.266023432,0.343465045,0.392832529,0.736297574,0.126809097,3.19463910207595,0.310132158,0.918433558777906,204.71713434131,0.47291722864958885,0.34087427129074704,100.07676622753023,"Hoon Jung","sa3012191",
"Tae-gon Oh 오태곤","- - -","—",1541,0.077222582,0.23880597,0.323369565,0.243599122,0.310276679,0.389904901,0.70018158,0.146305779,6.4313585402034565,0.299277605,8.54420757247135,168.40460210120395,-21.372586065772015,0.322182826555208,88.23494753131523,"Tae-gon Oh","sa3012193",
"Kang-nam Yoo 유강남","- - -","—",1922,0.070239334,0.183662851,0.38243626,0.253231492,0.325288562,0.368977673,0.694266235,0.115746181,1.838472113057904,0.294251134,-1.5716292472789064,212.57304135470167,-20.400444860174517,0.3254834394109168,91.71447761664403,"Kang-nam Yoo","sa3012221",
"Jong-wook Ko 고종욱","- - -","—",782,0.062659846,0.175191815,0.357664233,0.281163434,0.324358974,0.37534626,0.699705234,0.094182826,3.151939339839954,0.329896907,-1.5146556991385296,86.17151228619267,-8.106180702322241,0.3254937953453162,91.70903661265834,"Jong-wook Ko","sa3012243",
