Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
2026,"Ah-seop Son 손아섭","Bears (KBO)",38,40,135,151,34,30,3,0,1,14,14,13,0,27,0,3,0,1,0,0,0.251851851,"Ah-seop Son","sa3012050",
2025,"Ah-seop Son 손아섭","Eagles (KBO)",37,35,132,149,35,25,9,0,1,18,17,13,0,26,1,1,2,2,0,1,0.265151515,"Ah-seop Son","sa3012050",
2023,"Ah-seop Son 손아섭","Dinos (KBO)",35,140,550,609,186,143,35,3,5,97,65,50,2,67,2,5,2,10,14,3,0.338181818,"Ah-seop Son","sa3012050",
2024,"Ah-seop Son 손아섭","Dinos (KBO)",36,84,333,355,95,72,16,0,7,45,50,16,0,65,0,4,2,1,6,2,0.285285285,"Ah-seop Son","sa3012050",
2025,"Ah-seop Son 손아섭","Dinos (KBO)",37,76,240,267,72,56,13,3,0,21,33,24,2,33,0,1,2,1,0,3,0.3,"Ah-seop Son","sa3012050",
2023,"Taegun Kim 김태군","Lions (KBO)",33,49,125,143,32,26,4,1,1,7,18,10,1,11,4,1,3,8,0,0,0.256,"Taegun Kim","sa3012057",
2023,"Taegun Kim 김태군","Tigers (KBO)",33,64,183,199,48,42,6,0,0,16,24,5,0,17,3,3,5,9,2,1,0.262295081,"Taegun Kim","sa3012057",
2024,"Taegun Kim 김태군","Tigers (KBO)",34,105,235,270,62,48,7,0,7,24,34,12,0,24,11,1,11,14,0,0,0.263829787,"Taegun Kim","sa3012057",
2025,"Taegun Kim 김태군","Tigers (KBO)",35,100,236,274,61,45,10,1,5,20,31,17,1,20,10,3,8,9,0,0,0.258474576,"Taegun Kim","sa3012057",
2026,"Taegun Kim 김태군","Tigers (KBO)",36,46,101,113,26,19,5,0,2,11,7,6,0,16,3,1,2,6,0,0,0.257425742,"Taegun Kim","sa3012057",
2026,"Geonchang Seo 서건창","Heroes (KBO)",36,52,201,239,59,48,7,3,1,30,14,26,1,23,7,1,4,5,1,0,0.293532338,"Geonchang Seo","sa3012058",
2023,"Geonchang Seo 서건창","Twins (KBO)",33,43,107,123,22,15,5,2,0,14,12,10,0,14,0,3,3,7,3,3,0.205607476,"Geonchang Seo","sa3012058",
2024,"Geonchang Seo 서건창","Tigers (KBO)",34,94,203,248,63,47,14,1,1,40,26,36,0,31,3,3,3,2,3,1,0.310344827,"Geonchang Seo","sa3012058",
2023,"Junwoo Jeon 전준우","Giants (KBO)",37,138,493,559,154,113,21,3,17,80,77,52,4,65,7,7,0,12,8,2,0.312373225,"Junwoo Jeon","sa3012061",
2024,"Junwoo Jeon 전준우","Giants (KBO)",38,109,423,483,124,79,26,2,17,57,82,49,0,84,5,5,1,11,3,1,0.293144208,"Junwoo Jeon","sa3012061",
