Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Sun-woo Oh 오선우","- - -","—",189,541,589,137,92,21,1,23,67,68,45,2,201,3,0,0,11,0,2,0.25323475,"Sun-woo Oh","sa3012730",
"Woo-hyuk Byun 변우혁","- - -","—",222,576,632,144,103,23,2,16,62,71,49,1,190,6,1,0,18,1,0,0.25,"Woo-hyuk Byun","sa3012733",
"Si-hwan Roh 노시환","- - -","—",686,2610,3014,716,460,129,7,120,423,472,347,34,644,35,21,1,78,33,11,0.274329501,"Si-hwan Roh","sa3012734",
"Kang-min Kim 김강민","- - -","—",319,615,715,155,113,25,1,16,92,59,74,4,150,13,7,6,6,6,7,0.25203252,"Kang-min Kim","sa3012834",
"Hyoung-woo Choi 최형우","- - -","—",664,2358,2774,665,430,132,6,97,340,445,366,30,459,29,21,0,44,3,1,0.282018659,"Hyoung-woo Choi","sa3012871",
"Kyung-su Park 박경수","- - -","—",332,596,701,105,65,27,0,13,51,56,88,3,195,5,1,11,12,0,1,0.176174496,"Kyung-su Park","sa3012911",
"Jae-il Oh 오재일","- - -","—",467,1503,1731,382,218,95,1,68,185,290,194,17,438,7,27,0,20,4,1,0.254158349,"Jae-il Oh","sa3013047",
"Won-seok Lee 이원석","- - -","—",354,1096,1284,266,198,47,0,21,100,157,143,5,241,21,18,6,30,2,1,0.242700729,"Won-seok Lee","sa3013066",
"Joo-hwan Choi 최주환","- - -","—",655,2269,2555,570,375,115,5,75,246,358,230,15,424,28,24,4,44,2,2,0.251211987,"Joo-hwan Choi","sa3013103",
"Sung-hyun Kim 김성현","- - -","—",482,1105,1291,273,215,45,2,11,136,127,121,1,149,8,11,46,38,15,7,0.247058823,"Sung-hyun Kim","sa3013146",
"Jae-won Lee 이재원","- - -","—",409,808,943,184,148,26,1,9,73,88,77,6,143,18,14,26,38,2,3,0.227722772,"Jae-won Lee","sa3013147",
"Myung-ki Lee 이명기","- - -","—",168,538,623,140,110,26,2,2,68,43,69,0,95,4,2,10,10,12,7,0.260223048,"Myung-ki Lee","sa3013150",
"Do-hwan Hur 허도환","- - -","—",232,334,403,70,49,16,0,5,33,48,22,0,100,20,2,25,12,0,1,0.209580838,"Do-hwan Hur","sa3013160",
"Min-sung Kim 김민성","- - -","—",471,1083,1268,247,166,56,0,25,119,147,125,3,229,25,10,25,27,5,7,0.228070175,"Min-sung Kim","sa3013175",
"Hyung-jong Lee 이형종","- - -","—",324,888,1055,194,124,47,1,22,109,116,126,4,238,27,5,9,28,7,0,0.218468468,"Hyung-jong Lee","sa3013195",
"Jae-hwan Kim 김재환","- - -","—",689,2326,2745,581,361,105,5,110,331,390,370,17,691,26,23,0,36,17,8,0.249785038,"Jae-hwan Kim","sa3013200",
"Jae-hoon Choi 최재훈","- - -","—",624,1689,2107,426,337,71,0,18,185,190,257,3,303,100,21,39,58,6,5,0.252220248,"Jae-hoon Choi","sa3013205",
"Sung-woo Jang 장성우","- - -","—",686,2151,2515,548,376,88,0,84,256,357,306,11,450,11,30,17,68,9,4,0.254765225,"Sung-woo Jang","sa3013216",
"Sun-bin Kim 김선빈","- - -","—",649,2322,2639,714,567,125,1,21,252,300,255,3,211,22,13,25,67,25,4,0.30749354,"Sun-bin Kim","sa3013220",
"Sun-jin Oh 오선진","- - -","—",383,700,813,170,141,25,0,4,72,62,63,0,159,14,4,32,17,3,2,0.242857142,"Sun-jin Oh","sa3013231",
"Ji-hwan Oh 오지환","- - -","—",693,2346,2710,612,412,115,12,73,353,362,287,2,531,29,22,26,42,75,32,0.260869565,"Ji-hwan Oh","sa3013245",
"Eun-seong Chae 채은성","- - -","—",657,2393,2710,663,451,117,3,92,303,432,205,19,470,81,28,3,62,13,12,0.277058086,"Eun-seong Chae","sa3013253",
"Kun-woo Park 박건우","- - -","—",638,2229,2558,715,508,138,7,62,337,363,259,12,369,38,30,2,57,38,14,0.320771646,"Kun-woo Park","sa3013255",
"Soo-bin Jung 정수빈","- - -","—",697,2400,2790,651,513,86,29,23,400,222,291,6,334,34,20,45,28,156,51,0.27125,"Soo-bin Jung","sa3013258",
"Dong-won Park 박동원","- - -","—",707,2242,2618,567,345,113,1,108,305,397,292,15,582,28,26,30,56,9,2,0.252899197,"Dong-won Park","sa3013271",
"Ji-young Lee 이지영","- - -","—",556,1520,1658,397,333,46,8,10,155,148,86,4,163,13,8,31,48,17,5,0.26118421,"Ji-young Lee","sa3013276",
"Chi-hong An 안치홍","- - -","—",623,2206,2524,629,459,113,6,51,284,311,245,14,307,26,24,23,58,19,13,0.285131459,"Chi-hong An","sa3013286",
"Bo-keun Jeong 정보근","- - -","—",351,565,644,125,105,12,3,5,32,50,51,1,143,4,2,22,15,1,1,0.221238938,"Bo-keun Jeong","sa3014210",
"Jun-su Han 한준수","- - -","—",318,753,859,206,134,50,1,21,99,99,83,4,145,7,11,5,19,0,0,0.273572377,"Jun-su Han","sa3014211",
"Gweon-su An 안권수","- - -","—",258,549,623,153,134,13,4,2,102,53,59,1,83,2,3,10,10,21,11,0.278688524,"Gweon-su An","sa3014276",
"Ji-chan Kim 김지찬","- - -","—",617,1908,2256,555,488,47,15,5,379,143,247,3,228,28,11,62,17,134,18,0.290880503,"Ji-chan Kim","sa3014279",
"Ji-hoon Choi 최지훈","- - -","—",722,2716,3043,748,554,118,32,44,426,261,239,2,387,27,21,40,28,146,27,0.275405007,"Ji-hoon Choi","sa3014282",
"Jeong-won Choi 최정원","- - -","—",319,617,725,171,148,18,4,1,143,44,61,0,132,27,3,17,3,68,21,0.277147487,"Jeong-won Choi","sa3014290",
"Kyu-sung Kim 김규성","- - -","—",439,537,610,121,95,16,4,6,99,50,51,0,141,3,3,16,5,16,5,0.225325884,"Kyu-sung Kim","sa3014306",
"Sang-kwon Byeon 변상권","- - -","—",161,397,423,98,78,10,5,5,37,45,20,0,93,1,5,0,6,0,0,0.246851385,"Sang-kwon Byeon","sa3014307",
"Suk-hyun Han 한석현","- - -","—",202,388,443,93,71,15,2,5,53,44,28,0,100,11,4,12,8,9,5,0.239690721,"Suk-hyun Han","sa3014319",
"Ho-cheol Seo 서호철","- - -","—",483,1462,1619,390,309,53,7,21,184,155,81,0,267,35,11,30,39,16,12,0.266757865,"Ho-cheol Seo","sa3014321",
"Seong Ho Cheon 천성호","- - -","—",254,612,679,166,129,28,6,3,103,58,49,1,108,10,1,7,13,16,2,0.27124183,"Seong Ho Cheon","sa3014323",
"In Ho Choi 최인호","- - -","—",269,631,732,165,117,33,5,10,86,76,73,0,126,15,6,7,12,7,1,0.261489698,"In Ho Choi","sa3014330",
"Jung Hyun Park 박정현","- - -","—",182,426,462,93,72,14,1,6,48,34,24,0,127,3,1,8,5,7,1,0.218309859,"Jung Hyun Park","sa3014331",
"Myeong Jin Oh 오명진","- - -","—",146,403,458,106,76,18,6,6,49,52,39,2,107,3,5,8,6,5,5,0.263027295,"Myeong Jin Oh","sa3014344",
"Jae-won Lee 이재원","- - -","—",234,548,621,124,76,22,2,24,72,86,49,4,190,19,5,0,6,12,5,0.226277372,"Jae-won Lee","sa3014346",
"Ju Hong Park 박주홍","- - -","—",242,573,666,115,82,22,6,5,68,39,81,1,196,5,4,3,10,18,2,0.20069808,"Ju Hong Park","sa3014359",
"Ho-yeon Lee 이호연","- - -","—",245,553,604,143,112,23,2,6,59,42,34,1,113,8,2,7,18,8,3,0.258589511,"Ho-yeon Lee","sa3014412",
"Ju Hyoung Lee 이주형","- - -","—",348,1243,1415,328,224,63,9,32,184,153,111,5,315,51,3,7,15,30,3,0.263877715,"Ju Hyoung Lee","sa3014742",
"Dong Jin Kwon 권동진","- - -","—",314,454,534,107,75,24,6,2,88,46,65,0,160,3,1,11,8,10,4,0.235682819,"Dong Jin Kwon","sa3014744",
"Jae Seok An 안재석","- - -","—",288,748,826,182,119,45,5,13,99,70,56,2,181,9,8,5,14,11,1,0.243315508,"Jae Seok An","sa3014749",
"Myeong Jun Ko 고명준","- - -","—",258,883,943,239,168,38,1,32,88,121,50,1,209,3,7,0,17,6,4,0.270668176,"Myeong Jun Ko","sa3014774",
"Doo-sung Chang 장두성","- - -","—",366,482,547,119,105,9,5,0,119,42,45,0,133,7,3,10,5,54,11,0.246887966,"Doo-sung Chang","sa3014778",
"Young Bin Lee 이영빈","- - -","—",241,409,454,89,63,16,1,9,66,50,32,0,148,3,5,5,4,8,4,0.217603911,"Young Bin Lee","sa3015000",
"Bo-gyeong Moon 문보경","- - -","—",683,2298,2694,664,453,121,13,77,353,397,328,12,448,10,38,20,54,29,16,0.28894691,"Bo-gyeong Moon","sa3015048",
"Seung Yeup Na 나승엽","- - -","—",314,946,1120,251,168,56,6,21,125,137,149,3,199,9,11,5,18,2,0,0.265327695,"Seung Yeup Na","sa3015054",
"Whee Jip Kim 김휘집","- - -","—",554,1741,2040,423,290,79,4,50,241,235,196,1,453,63,22,18,40,16,7,0.242963813,"Whee Jip Kim","sa3015123",
