Season,Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
2023,"Sung-Mun Song 송성문","Heroes (KBO)",26,438,0.089041095,0.08675799,1.026315789,0.262886597,0.324884792,0.358247422,0.683132214,0.095360825,3.3119768449805305,0.275568181,-0.13500873371958733,45.21242964315909,-6.369218825812163,0.31735525625846883,87.65216115641682,"Sung-Mun Song","37122",
2024,"Sung-Mun Song 송성문","Heroes (KBO)",27,602,0.106312292,0.136212624,0.780487804,0.339658444,0.408637873,0.518026565,0.926664438,0.178368121,6.018380199427436,0.368663594,3.7078414857387543,113.47084038919417,32.103866065206205,0.4120267723997434,139.4556468787627,"Sung-Mun Song","37122",
2025,"Sung-Mun Song 송성문","Heroes (KBO)",28,646,0.105263157,0.148606811,0.708333333,0.31533101,0.386996904,0.529616724,0.916613628,0.214285714,6.245619759446603,0.34065934,3.4264231035485864,116.38263419226834,37.784203886548966,0.40977570065842034,148.07246625610986,"Sung-Mun Song","37122",
2023,"José Pirela 피렐라","Lions (KBO)",33,605,0.069421487,0.114049586,0.608695652,0.285457809,0.338842975,0.425493716,0.764336691,0.140035907,2.8637554013747657,0.301687763,-0.939556737197563,79.07249130728265,7.823867280507297,0.3531377340356509,110.98107842414903,"Jose Pirela","5485",
2024,"Matt Davidson 데이비슨","Dinos (KBO)",33,567,0.068783068,0.250440917,0.274647887,0.305555555,0.37037037,0.632936507,1.003306877,0.327380952,2.0704236184253246,0.334365325,-0.8193940736819059,113.28057928950304,36.6442430076074,0.42514638205015787,147.81575527412593,"Matt Davidson","7226",
2025,"Matt Davidson 데이비슨","Dinos (KBO)",34,439,0.070615034,0.26879271,0.262711864,0.292746113,0.346241457,0.619170984,0.965412441,0.326424871,1.9235450733400703,0.31300813,-0.18823236552998424,81.18148894473539,27.76862376793848,0.4157649676005046,151.98864295338615,"Matt Davidson","7226",
2026,"Matt Davidson 데이비슨","Dinos (KBO)",35,252,0.047619047,0.23015873,0.206896551,0.28959276,0.369047619,0.457013574,0.826061193,0.167420814,3.0989489910192862,0.356687898,-0.06304399622604251,39.02829208487573,7.0865429889589855,0.3790050870369351,122.18583261573765,"Matt Davidson","7226",
2026,"Jarryd Dale 데일","Tigers (KBO)",25,135,0.096296296,0.103703703,0.928571428,0.256410256,0.328244274,0.316239316,0.64448359,0.05982906,4.034170352790172,0.281553398,0.06667633214965463,12.599797245066794,-4.511854056317178,0.30398177275290855,73.63285414802564,"Jarryd Dale","sa3007022",
2025,"Ruben Cardenas 카데나스","Heroes (KBO)",27,361,0.088642659,0.185595567,0.47761194,0.253125,0.329639889,0.371875,0.701514889,0.11875,2.310069526196626,0.297188755,-1.0373757416382432,40.61367661231817,-3.3089756173485414,0.324733616249807,92.46635745025992,"Ruben Cardenas","sa3007505",
2024,"Hun Gon Kim 김헌곤","Lions (KBO)",35,311,0.070739549,0.160771704,0.44,0.302491103,0.358306188,0.434163701,0.792469889,0.131672598,4.105387570647998,0.340807174,-0.39276942517608404,44.605026355656335,2.5699283244931213,0.35970299659412147,106.11376788651206,"Hun Gon Kim","sa3011906",
2025,"Hun Gon Kim 김헌곤","Lions (KBO)",36,191,0.057591623,0.15183246,0.379310344,0.225433526,0.285714285,0.294797687,0.580511972,0.069364161,3.629411125260482,0.258741258,-0.21468547079712152,13.988172255555552,-9.250682525237638,0.275375900445161,60.19303613496786,"Hun Gon Kim","sa3011906",
2024,"Bon Ki Shin 신본기","Wiz (KBO)",35,152,0.105263157,0.184210526,0.571428571,0.278688524,0.37062937,0.37704918,0.74767855,0.098360656,3.7883557970323407,0.333333333,0.27952368767000735,20.468126372628266,-0.07635883874410873,0.34952531911276435,99.62832439966985,"Bon Ki Shin","sa3011910",
2024,"Byeong-woo Jeon 전병우","Lions (KBO)",31,128,0.109375,0.328125,0.333333333,0.225225225,0.3125,0.405405405,0.717905405,0.18018018,2.244079986346614,0.303030303,-0.5553715038113296,14.350824228440349,-2.9497948969258614,0.32335148518905044,82.94977263212006,"Byeong-woo Jeon","sa3011926",
2025,"Byeong-woo Jeon 전병우","Lions (KBO)",32,97,0.195876288,0.278350515,0.703703703,0.272727272,0.422680412,0.337662337,0.760342749,0.064935065,3.047893335491938,0.408163265,0.04790897201746702,14.657908613765288,2.855977128231574,0.37326479572610755,124.1992349449944,"Byeong-woo Jeon","sa3011926",
